iter	RMSE
0	0.1389132434
1	0.1341189364
2	0.1314656433
3	0.1296105805
4	0.1267540732
5	0.1247619892
6	0.1229963195
7	0.1213799188
8	0.1193035481
9	0.1178554653
10	0.1159867485
11	0.114395557
12	0.1127150728
13	0.1111582033
14	0.1103753913
15	0.1091971083
16	0.1081840201
17	0.1073629683
18	0.1064219128
19	0.1046015968
20	0.1031037511
21	0.1028610031
22	0.102251195
23	0.1010274594
24	0.1001297797
25	0.09984080186
26	0.09906563632
27	0.09815128089
28	0.09762308965
29	0.09743399022
30	0.09718303883
31	0.09690713508
32	0.09636350306
33	0.09608346209
34	0.09576559089
35	0.09550190178
36	0.09507030399
37	0.09439768065
38	0.0939151103
39	0.09275912087
40	0.0924681934
41	0.09201487149
42	0.0914757018
43	0.09080722451
44	0.09017070367
45	0.08957122084
46	0.08919636925
47	0.08879742439
48	0.08849896464
49	0.08833884862
50	0.08784966176
51	0.0875468954
52	0.0872879484
53	0.08671487359
54	0.08640387044
55	0.08621023407
56	0.0860110082
57	0.08575850379
58	0.08533173249
59	0.08451551042
60	0.08444377931
61	0.08387970787
62	0.08364968275
63	0.0827466802
64	0.08250131569
65	0.08227533785
66	0.08138416122
67	0.08113668679
68	0.08019049836
69	0.08001398257
70	0.0796727681
71	0.07843875025
72	0.07820215605
73	0.07800236083
74	0.0775502802
75	0.07659896558
76	0.07572808837
77	0.07530834547
78	0.07435167144
79	0.07408068785
80	0.07304233839
81	0.07236709091
82	0.07223598534
83	0.07202876981
84	0.07186593853
85	0.0712082011
86	0.07104675077
87	0.06996918044
88	0.06976503045
89	0.06963017721
90	0.06864644506
91	0.06824794141
92	0.06743280589
93	0.0673277629
94	0.06702386279
95	0.06664335285
96	0.06655413622
97	0.06619008375
98	0.06548085341
99	0.06539972354
