"","var1","var25","es25","ticker","period","date"
"1",-0.0262136570169718,-0.0220851852079662,-0.0263427328470651,"SPX","p1",2003-10-06
"2",-0.0254643669076866,-0.021453903169472,-0.0255897532394861,"SPX","p1",2003-10-07
"3",-0.0247980791728297,-0.0208925511987575,-0.0249201847093399,"SPX","p1",2003-10-08
"4",-0.0242288497543615,-0.0204129715229972,-0.0243481524099285,"SPX","p1",2003-10-09
"5",-0.0236584502496093,-0.0199324060415449,-0.023774944262738,"SPX","p1",2003-10-10
"6",-0.0229269717647487,-0.0193161304183715,-0.0230398639838749,"SPX","p1",2003-10-13
"7",-0.0226751042608395,-0.0191039303248058,-0.0227867562864621,"SPX","p1",2003-10-14
"8",-0.0221193886635915,-0.0186357361357907,-0.0222283043502147,"SPX","p1",2003-10-15
"9",-0.0214946089183721,-0.0181093549300542,-0.0216004481947032,"SPX","p1",2003-10-16
"10",-0.0209332921816676,-0.0176364417427633,-0.0210363675390351,"SPX","p1",2003-10-17
"11",-0.0213726065453316,-0.0180065670968776,-0.0214778450829881,"SPX","p1",2003-10-20
"12",-0.0209842771395403,-0.0176793969182547,-0.0210876035464181,"SPX","p1",2003-10-21
"13",-0.0203475787313126,-0.0171429741574693,-0.0204477700405004,"SPX","p1",2003-10-22
"14",-0.0221132563402584,-0.018630569611468,-0.0222221418313723,"SPX","p1",2003-10-23
"15",-0.0215070693113147,-0.0181198528962756,-0.0216129699425175,"SPX","p1",2003-10-24
"16",-0.0210590451409248,-0.0177423894704629,-0.0211627397048224,"SPX","p1",2003-10-27
"17",-0.0204381376330936,-0.0172192706511928,-0.020538774853564,"SPX","p1",2003-10-28
"18",-0.0221560713982195,-0.0186666415904425,-0.0222651677103242,"SPX","p1",2003-10-29
"19",-0.0214639999713338,-0.0180835666829614,-0.0215696885294631,"SPX","p1",2003-10-30
"20",-0.0207955907271779,-0.0175204273261619,-0.0208979880437237,"SPX","p1",2003-10-31
"21",-0.0202941167919708,-0.0170979321081598,-0.020394044855012,"SPX","p1",2003-11-03
"22",-0.020336309914332,-0.0171334801021405,-0.0204364457359584,"SPX","p1",2003-11-04
"23",-0.0200195868710341,-0.01686663877335,-0.0201181631510178,"SPX","p1",2003-11-05
"24",-0.0193833441858837,-0.0163305999623722,-0.0194787876121541,"SPX","p1",2003-11-06
"25",-0.019175756037594,-0.0161557055285666,-0.0192701773015411,"SPX","p1",2003-11-07
"26",-0.0188052622529292,-0.0158435619826499,-0.0188978592085484,"SPX","p1",2003-11-10
"27",-0.0186242651897196,-0.0156910707197752,-0.0187159709172983,"SPX","p1",2003-11-11
"28",-0.0179899144282328,-0.0151566258674152,-0.0180784966179145,"SPX","p1",2003-11-12
"29",-0.0190765796422529,-0.0160721487376179,-0.0191705125624505,"SPX","p1",2003-11-13
"30",-0.0184599586248581,-0.0155526413158389,-0.0185508553082719,"SPX","p1",2003-11-14
"31",-0.0185723352599074,-0.0156473193989657,-0.0186637852849417,"SPX","p1",2003-11-17
"32",-0.0184898076216556,-0.0155777892996596,-0.0185808512812825,"SPX","p1",2003-11-18
"33",-0.0189292446349338,-0.0159480179869122,-0.0190224520787754,"SPX","p1",2003-11-19
"34",-0.0190916915635086,-0.0160848806345663,-0.0191856988946813,"SPX","p1",2003-11-20
"35",-0.0193252549496311,-0.0162816593837876,-0.0194204123449831,"SPX","p1",2003-11-21
"36",-0.0186667222782565,-0.015726841107063,-0.0187586370641876,"SPX","p1",2003-11-24
"37",-0.0211892006614807,-0.0178520463861482,-0.0212935361100838,"SPX","p1",2003-11-25
"38",-0.0204922841398153,-0.0172648894531989,-0.0205931879772364,"SPX","p1",2003-11-26
"39",-0.019970301932697,-0.0168251158759369,-0.0200686355340524,"SPX","p1",2003-11-28
"40",-0.0192732718103142,-0.0162378632336067,-0.0193681732411187,"SPX","p1",2003-12-01
"41",-0.0201512690334145,-0.0169775818952073,-0.0202504937152754,"SPX","p1",2003-12-02
"42",-0.0195458259032118,-0.0164674919197887,-0.0196420693881129,"SPX","p1",2003-12-03
"43",-0.0188924518816767,-0.0159170198408135,-0.0189854781583059,"SPX","p1",2003-12-04
"44",-0.0185267748263781,-0.0156089344223103,-0.0186180005122149,"SPX","p1",2003-12-05
"45",-0.018608208363115,-0.0156775427336119,-0.0186998350270125,"SPX","p1",2003-12-08
"46",-0.0185625423179073,-0.0156390687783956,-0.0186539441225763,"SPX","p1",2003-12-09
"47",-0.0188760516936595,-0.0159032025703132,-0.0189689972158987,"SPX","p1",2003-12-10
"48",-0.0181289340329912,-0.0152737508346275,-0.0182182007540557,"SPX","p1",2003-12-11
"49",-0.0191161830766339,-0.0161055149017746,-0.0192103110038145,"SPX","p1",2003-12-12
"50",-0.0184938413620679,-0.0155811877535277,-0.0185849048837992,"SPX","p1",2003-12-15
"51",-0.0181874154652013,-0.0153230218409869,-0.0182769701483537,"SPX","p1",2003-12-16
"52",-0.0180607319673239,-0.0152162901281395,-0.0181496628619818,"SPX","p1",2003-12-17
"53",-0.0173888164529484,-0.0146501967147146,-0.0174744388411772,"SPX","p1",2003-12-18
"54",-0.0184509295613541,-0.0155450342681228,-0.018541781785734,"SPX","p1",2003-12-19
"55",-0.0177927962865529,-0.0149905524857412,-0.0178804078681372,"SPX","p1",2003-12-22
"56",-0.017307009818639,-0.014581274066158,-0.0173922293916778,"SPX","p1",2003-12-23
"57",-0.016758707826691,-0.0141193258902805,-0.0168412275652616,"SPX","p1",2003-12-24
"58",-0.0161777323021404,-0.0136298500398607,-0.0162573913220388,"SPX","p1",2003-12-26
"59",-0.0155438778227144,-0.013095823308529,-0.0156204157484046,"SPX","p1",2003-12-29
"60",-0.0171133422993784,-0.0144181078574574,-0.017197608255156,"SPX","p1",2003-12-30
"61",-0.016473701162048,-0.0138792058272893,-0.0165548175301619,"SPX","p1",2003-12-31
"62",-0.0159178355414337,-0.0134108852425628,-0.0159962148318344,"SPX","p1",2004-01-02
"63",-0.0154129355229273,-0.0129855035259637,-0.0154888286898176,"SPX","p1",2004-01-05
"64",-0.0169922437023366,-0.014316081461737,-0.0170759133696251,"SPX","p1",2004-01-06
"65",-0.0163966148688947,-0.0138142600984205,-0.0164773516647394,"SPX","p1",2004-01-07
"66",-0.0158431368654892,-0.0133479510975118,-0.0159211483402281,"SPX","p1",2004-01-08
"67",-0.0156031849189645,-0.0131457899424857,-0.0156800148723056,"SPX","p1",2004-01-09
"68",-0.0161657919250075,-0.0136197901905134,-0.0162453921505878,"SPX","p1",2004-01-12
"69",-0.0158515972956142,-0.0133550790677194,-0.015929650429441,"SPX","p1",2004-01-13
"70",-0.0156941279300702,-0.0132224100509405,-0.0157714056860449,"SPX","p1",2004-01-14
"71",-0.0160629170965995,-0.013533117444427,-0.0161420107673766,"SPX","p1",2004-01-15
"72",-0.0154658557157645,-0.0130300891501402,-0.0155420094612462,"SPX","p1",2004-01-16
"73",-0.0155726972056486,-0.0131201038356325,-0.0156493770377418,"SPX","p1",2004-01-20
"74",-0.0149856873552523,-0.0126255440244429,-0.0150594767557028,"SPX","p1",2004-01-21
"75",-0.0153549660428007,-0.0129366638427338,-0.0154305737684509,"SPX","p1",2004-01-22
"76",-0.0148916331395907,-0.0125463027048845,-0.0149649594178621,"SPX","p1",2004-01-23
"77",-0.0143707042890823,-0.0121074165877662,-0.0144414655180073,"SPX","p1",2004-01-26
"78",-0.0160524123580581,-0.0135242671304056,-0.0161314543035895,"SPX","p1",2004-01-27
"79",-0.0167785102701864,-0.0141360095842757,-0.0168611275158248,"SPX","p1",2004-01-28
"80",-0.0185115711591787,-0.0155961252287772,-0.0186027219822841,"SPX","p1",2004-01-29
"81",-0.0181902625491685,-0.0153254205286892,-0.0182798312513388,"SPX","p1",2004-01-30
